Total Nacional;Comunidades y Ciudades Autonomas;Titular de la vivienda;Periodo;Total
Total Nacional;;Total;2023;13151
Total Nacional;;Total;2022;17132
Total Nacional;;Total;2021;20694
Total Nacional;;Total;2020;18920
Total Nacional;;Total;2019;27488
Total Nacional;;Total;2018;26247
Total Nacional;;Total;2017;27719
Total Nacional;;Total;2016;41288
Total Nacional;;Total;2015;60032
Total Nacional;;Total;2014;70422
Total Nacional;;Persona fisica;2023;11369
Total Nacional;;Persona fisica;2022;14343
Total Nacional;;Persona fisica;2021;15138
Total Nacional;;Persona fisica;2020;9692
Total Nacional;;Persona fisica;2019;7382
Total Nacional;;Persona fisica;2018;9041
Total Nacional;;Persona fisica;2017;14422
Total Nacional;;Persona fisica;2016;27189
Total Nacional;;Persona fisica;2015;39151
Total Nacional;;Persona fisica;2014;44939
Total Nacional;;Persona juridica;2023;1782
Total Nacional;;Persona juridica;2022;2789
Total Nacional;;Persona juridica;2021;5556
Total Nacional;;Persona juridica;2020;9228
Total Nacional;;Persona juridica;2019;20106
Total Nacional;;Persona juridica;2018;17206
Total Nacional;;Persona juridica;2017;13297
Total Nacional;;Persona juridica;2016;14099
Total Nacional;;Persona juridica;2015;20881
Total Nacional;;Persona juridica;2014;25483
Total Nacional;01 Andalucia;Total;2023;3439
Total Nacional;01 Andalucia;Total;2022;4504
Total Nacional;01 Andalucia;Total;2021;4757
Total Nacional;01 Andalucia;Total;2020;3653
Total Nacional;01 Andalucia;Total;2019;5848
Total Nacional;01 Andalucia;Total;2018;5204
Total Nacional;01 Andalucia;Total;2017;7777
Total Nacional;01 Andalucia;Total;2016;11575
Total Nacional;01 Andalucia;Total;2015;16246
Total Nacional;01 Andalucia;Total;2014;16469
Total Nacional;01 Andalucia;Persona fisica;2023;2863
Total Nacional;01 Andalucia;Persona fisica;2022;3745
Total Nacional;01 Andalucia;Persona fisica;2021;3674
Total Nacional;01 Andalucia;Persona fisica;2020;2013
Total Nacional;01 Andalucia;Persona fisica;2019;1802
Total Nacional;01 Andalucia;Persona fisica;2018;2513
Total Nacional;01 Andalucia;Persona fisica;2017;4409
Total Nacional;01 Andalucia;Persona fisica;2016;7604
Total Nacional;01 Andalucia;Persona fisica;2015;9941
Total Nacional;01 Andalucia;Persona fisica;2014;8755
Total Nacional;01 Andalucia;Persona juridica;2023;576
Total Nacional;01 Andalucia;Persona juridica;2022;759
Total Nacional;01 Andalucia;Persona juridica;2021;1083
Total Nacional;01 Andalucia;Persona juridica;2020;1640
Total Nacional;01 Andalucia;Persona juridica;2019;4046
Total Nacional;01 Andalucia;Persona juridica;2018;2691
Total Nacional;01 Andalucia;Persona juridica;2017;3368
Total Nacional;01 Andalucia;Persona juridica;2016;3971
Total Nacional;01 Andalucia;Persona juridica;2015;6305
Total Nacional;01 Andalucia;Persona juridica;2014;7714
Total Nacional;02 Aragon;Total;2023;203
Total Nacional;02 Aragon;Total;2022;356
Total Nacional;02 Aragon;Total;2021;404
Total Nacional;02 Aragon;Total;2020;383
Total Nacional;02 Aragon;Total;2019;467
Total Nacional;02 Aragon;Total;2018;492
Total Nacional;02 Aragon;Total;2017;529
Total Nacional;02 Aragon;Total;2016;924
Total Nacional;02 Aragon;Total;2015;1287
Total Nacional;02 Aragon;Total;2014;1487
Total Nacional;02 Aragon;Persona fisica;2023;173
Total Nacional;02 Aragon;Persona fisica;2022;255
Total Nacional;02 Aragon;Persona fisica;2021;310
Total Nacional;02 Aragon;Persona fisica;2020;277
Total Nacional;02 Aragon;Persona fisica;2019;217
Total Nacional;02 Aragon;Persona fisica;2018;121
Total Nacional;02 Aragon;Persona fisica;2017;286
Total Nacional;02 Aragon;Persona fisica;2016;729
Total Nacional;02 Aragon;Persona fisica;2015;826
Total Nacional;02 Aragon;Persona fisica;2014;951
Total Nacional;02 Aragon;Persona juridica;2023;30
Total Nacional;02 Aragon;Persona juridica;2022;101
Total Nacional;02 Aragon;Persona juridica;2021;94
Total Nacional;02 Aragon;Persona juridica;2020;106
Total Nacional;02 Aragon;Persona juridica;2019;250
Total Nacional;02 Aragon;Persona juridica;2018;371
Total Nacional;02 Aragon;Persona juridica;2017;243
Total Nacional;02 Aragon;Persona juridica;2016;195
Total Nacional;02 Aragon;Persona juridica;2015;461
Total Nacional;02 Aragon;Persona juridica;2014;536
Total Nacional;03 Asturias, Principado de;Total;2023;173
Total Nacional;03 Asturias, Principado de;Total;2022;251
Total Nacional;03 Asturias, Principado de;Total;2021;337
Total Nacional;03 Asturias, Principado de;Total;2020;299
Total Nacional;03 Asturias, Principado de;Total;2019;335
Total Nacional;03 Asturias, Principado de;Total;2018;474
Total Nacional;03 Asturias, Principado de;Total;2017;286
Total Nacional;03 Asturias, Principado de;Total;2016;394
Total Nacional;03 Asturias, Principado de;Total;2015;603
Total Nacional;03 Asturias, Principado de;Total;2014;574
Total Nacional;03 Asturias, Principado de;Persona fisica;2023;159
Total Nacional;03 Asturias, Principado de;Persona fisica;2022;206
Total Nacional;03 Asturias, Principado de;Persona fisica;2021;246
Total Nacional;03 Asturias, Principado de;Persona fisica;2020;205
Total Nacional;03 Asturias, Principado de;Persona fisica;2019;140
Total Nacional;03 Asturias, Principado de;Persona fisica;2018;225
Total Nacional;03 Asturias, Principado de;Persona fisica;2017;207
Total Nacional;03 Asturias, Principado de;Persona fisica;2016;298
Total Nacional;03 Asturias, Principado de;Persona fisica;2015;412
Total Nacional;03 Asturias, Principado de;Persona fisica;2014;433
Total Nacional;03 Asturias, Principado de;Persona juridica;2023;14
Total Nacional;03 Asturias, Principado de;Persona juridica;2022;45
Total Nacional;03 Asturias, Principado de;Persona juridica;2021;91
Total Nacional;03 Asturias, Principado de;Persona juridica;2020;94
Total Nacional;03 Asturias, Principado de;Persona juridica;2019;195
Total Nacional;03 Asturias, Principado de;Persona juridica;2018;249
Total Nacional;03 Asturias, Principado de;Persona juridica;2017;79
Total Nacional;03 Asturias, Principado de;Persona juridica;2016;96
Total Nacional;03 Asturias, Principado de;Persona juridica;2015;191
Total Nacional;03 Asturias, Principado de;Persona juridica;2014;141
Total Nacional;04 Balears, Illes;Total;2023;169
Total Nacional;04 Balears, Illes;Total;2022;323
Total Nacional;04 Balears, Illes;Total;2021;224
Total Nacional;04 Balears, Illes;Total;2020;371
Total Nacional;04 Balears, Illes;Total;2019;411
Total Nacional;04 Balears, Illes;Total;2018;395
Total Nacional;04 Balears, Illes;Total;2017;514
Total Nacional;04 Balears, Illes;Total;2016;753
Total Nacional;04 Balears, Illes;Total;2015;1328
Total Nacional;04 Balears, Illes;Total;2014;1941
Total Nacional;04 Balears, Illes;Persona fisica;2023;125
Total Nacional;04 Balears, Illes;Persona fisica;2022;179
Total Nacional;04 Balears, Illes;Persona fisica;2021;170
Total Nacional;04 Balears, Illes;Persona fisica;2020;140
Total Nacional;04 Balears, Illes;Persona fisica;2019;139
Total Nacional;04 Balears, Illes;Persona fisica;2018;162
Total Nacional;04 Balears, Illes;Persona fisica;2017;383
Total Nacional;04 Balears, Illes;Persona fisica;2016;621
Total Nacional;04 Balears, Illes;Persona fisica;2015;994
Total Nacional;04 Balears, Illes;Persona fisica;2014;1199
Total Nacional;04 Balears, Illes;Persona juridica;2023;44
Total Nacional;04 Balears, Illes;Persona juridica;2022;144
Total Nacional;04 Balears, Illes;Persona juridica;2021;54
Total Nacional;04 Balears, Illes;Persona juridica;2020;231
Total Nacional;04 Balears, Illes;Persona juridica;2019;272
Total Nacional;04 Balears, Illes;Persona juridica;2018;233
Total Nacional;04 Balears, Illes;Persona juridica;2017;131
Total Nacional;04 Balears, Illes;Persona juridica;2016;132
Total Nacional;04 Balears, Illes;Persona juridica;2015;334
Total Nacional;04 Balears, Illes;Persona juridica;2014;742
Total Nacional;05 Canarias;Total;2023;490
Total Nacional;05 Canarias;Total;2022;616
Total Nacional;05 Canarias;Total;2021;910
Total Nacional;05 Canarias;Total;2020;597
Total Nacional;05 Canarias;Total;2019;639
Total Nacional;05 Canarias;Total;2018;1404
Total Nacional;05 Canarias;Total;2017;1349
Total Nacional;05 Canarias;Total;2016;2012
Total Nacional;05 Canarias;Total;2015;3021
Total Nacional;05 Canarias;Total;2014;4888
Total Nacional;05 Canarias;Persona fisica;2023;426
Total Nacional;05 Canarias;Persona fisica;2022;492
Total Nacional;05 Canarias;Persona fisica;2021;548
Total Nacional;05 Canarias;Persona fisica;2020;295
Total Nacional;05 Canarias;Persona fisica;2019;267
Total Nacional;05 Canarias;Persona fisica;2018;519
Total Nacional;05 Canarias;Persona fisica;2017;799
Total Nacional;05 Canarias;Persona fisica;2016;1100
Total Nacional;05 Canarias;Persona fisica;2015;1824
Total Nacional;05 Canarias;Persona fisica;2014;1981
Total Nacional;05 Canarias;Persona juridica;2023;64
Total Nacional;05 Canarias;Persona juridica;2022;124
Total Nacional;05 Canarias;Persona juridica;2021;362
Total Nacional;05 Canarias;Persona juridica;2020;302
Total Nacional;05 Canarias;Persona juridica;2019;372
Total Nacional;05 Canarias;Persona juridica;2018;885
Total Nacional;05 Canarias;Persona juridica;2017;550
Total Nacional;05 Canarias;Persona juridica;2016;912
Total Nacional;05 Canarias;Persona juridica;2015;1197
Total Nacional;05 Canarias;Persona juridica;2014;2907
Total Nacional;06 Cantabria;Total;2023;92
Total Nacional;06 Cantabria;Total;2022;128
Total Nacional;06 Cantabria;Total;2021;169
Total Nacional;06 Cantabria;Total;2020;491
Total Nacional;06 Cantabria;Total;2019;372
Total Nacional;06 Cantabria;Total;2018;433
Total Nacional;06 Cantabria;Total;2017;222
Total Nacional;06 Cantabria;Total;2016;406
Total Nacional;06 Cantabria;Total;2015;405
Total Nacional;06 Cantabria;Total;2014;516
Total Nacional;06 Cantabria;Persona fisica;2023;86
Total Nacional;06 Cantabria;Persona fisica;2022;121
Total Nacional;06 Cantabria;Persona fisica;2021;144
Total Nacional;06 Cantabria;Persona fisica;2020;114
Total Nacional;06 Cantabria;Persona fisica;2019;124
Total Nacional;06 Cantabria;Persona fisica;2018;97
Total Nacional;06 Cantabria;Persona fisica;2017;88
Total Nacional;06 Cantabria;Persona fisica;2016;154
Total Nacional;06 Cantabria;Persona fisica;2015;249
Total Nacional;06 Cantabria;Persona fisica;2014;230
Total Nacional;06 Cantabria;Persona juridica;2023;6
Total Nacional;06 Cantabria;Persona juridica;2022;7
Total Nacional;06 Cantabria;Persona juridica;2021;25
Total Nacional;06 Cantabria;Persona juridica;2020;377
Total Nacional;06 Cantabria;Persona juridica;2019;248
Total Nacional;06 Cantabria;Persona juridica;2018;336
Total Nacional;06 Cantabria;Persona juridica;2017;134
Total Nacional;06 Cantabria;Persona juridica;2016;252
Total Nacional;06 Cantabria;Persona juridica;2015;156
Total Nacional;06 Cantabria;Persona juridica;2014;286
Total Nacional;08 Castilla - La Mancha;Total;2023;523
Total Nacional;08 Castilla - La Mancha;Total;2022;696
Total Nacional;08 Castilla - La Mancha;Total;2021;1041
Total Nacional;08 Castilla - La Mancha;Total;2020;822
Total Nacional;08 Castilla - La Mancha;Total;2019;1714
Total Nacional;08 Castilla - La Mancha;Total;2018;1472
Total Nacional;08 Castilla - La Mancha;Total;2017;1012
Total Nacional;08 Castilla - La Mancha;Total;2016;1553
Total Nacional;08 Castilla - La Mancha;Total;2015;2548
Total Nacional;08 Castilla - La Mancha;Total;2014;4024
Total Nacional;08 Castilla - La Mancha;Persona fisica;2023;460
Total Nacional;08 Castilla - La Mancha;Persona fisica;2022;626
Total Nacional;08 Castilla - La Mancha;Persona fisica;2021;705
Total Nacional;08 Castilla - La Mancha;Persona fisica;2020;418
Total Nacional;08 Castilla - La Mancha;Persona fisica;2019;377
Total Nacional;08 Castilla - La Mancha;Persona fisica;2018;353
Total Nacional;08 Castilla - La Mancha;Persona fisica;2017;639
Total Nacional;08 Castilla - La Mancha;Persona fisica;2016;1097
Total Nacional;08 Castilla - La Mancha;Persona fisica;2015;1586
Total Nacional;08 Castilla - La Mancha;Persona fisica;2014;2241
Total Nacional;08 Castilla - La Mancha;Persona juridica;2023;63
Total Nacional;08 Castilla - La Mancha;Persona juridica;2022;70
Total Nacional;08 Castilla - La Mancha;Persona juridica;2021;336
Total Nacional;08 Castilla - La Mancha;Persona juridica;2020;404
Total Nacional;08 Castilla - La Mancha;Persona juridica;2019;1337
Total Nacional;08 Castilla - La Mancha;Persona juridica;2018;1119
Total Nacional;08 Castilla - La Mancha;Persona juridica;2017;373
Total Nacional;08 Castilla - La Mancha;Persona juridica;2016;456
Total Nacional;08 Castilla - La Mancha;Persona juridica;2015;962
Total Nacional;08 Castilla - La Mancha;Persona juridica;2014;1783
Total Nacional;07 Castilla y Leon;Total;2023;303
Total Nacional;07 Castilla y Leon;Total;2022;390
Total Nacional;07 Castilla y Leon;Total;2021;419
Total Nacional;07 Castilla y Leon;Total;2020;574
Total Nacional;07 Castilla y Leon;Total;2019;795
Total Nacional;07 Castilla y Leon;Total;2018;857
Total Nacional;07 Castilla y Leon;Total;2017;739
Total Nacional;07 Castilla y Leon;Total;2016;1015
Total Nacional;07 Castilla y Leon;Total;2015;1907
Total Nacional;07 Castilla y Leon;Total;2014;2675
Total Nacional;07 Castilla y Leon;Persona fisica;2023;217
Total Nacional;07 Castilla y Leon;Persona fisica;2022;295
Total Nacional;07 Castilla y Leon;Persona fisica;2021;333
Total Nacional;07 Castilla y Leon;Persona fisica;2020;275
Total Nacional;07 Castilla y Leon;Persona fisica;2019;253
Total Nacional;07 Castilla y Leon;Persona fisica;2018;323
Total Nacional;07 Castilla y Leon;Persona fisica;2017;346
Total Nacional;07 Castilla y Leon;Persona fisica;2016;549
Total Nacional;07 Castilla y Leon;Persona fisica;2015;1009
Total Nacional;07 Castilla y Leon;Persona fisica;2014;1600
Total Nacional;07 Castilla y Leon;Persona juridica;2023;86
Total Nacional;07 Castilla y Leon;Persona juridica;2022;95
Total Nacional;07 Castilla y Leon;Persona juridica;2021;86
Total Nacional;07 Castilla y Leon;Persona juridica;2020;299
Total Nacional;07 Castilla y Leon;Persona juridica;2019;542
Total Nacional;07 Castilla y Leon;Persona juridica;2018;534
Total Nacional;07 Castilla y Leon;Persona juridica;2017;393
Total Nacional;07 Castilla y Leon;Persona juridica;2016;466
Total Nacional;07 Castilla y Leon;Persona juridica;2015;898
Total Nacional;07 Castilla y Leon;Persona juridica;2014;1075
Total Nacional;09 Cataluña;Total;2023;2740
Total Nacional;09 Cataluña;Total;2022;3149
Total Nacional;09 Cataluña;Total;2021;3735
Total Nacional;09 Cataluña;Total;2020;3545
Total Nacional;09 Cataluña;Total;2019;5927
Total Nacional;09 Cataluña;Total;2018;4688
Total Nacional;09 Cataluña;Total;2017;4372
Total Nacional;09 Cataluña;Total;2016;6991
Total Nacional;09 Cataluña;Total;2015;11110
Total Nacional;09 Cataluña;Total;2014;14347
Total Nacional;09 Cataluña;Persona fisica;2023;2320
Total Nacional;09 Cataluña;Persona fisica;2022;2627
Total Nacional;09 Cataluña;Persona fisica;2021;2940
Total Nacional;09 Cataluña;Persona fisica;2020;2089
Total Nacional;09 Cataluña;Persona fisica;2019;1408
Total Nacional;09 Cataluña;Persona fisica;2018;1641
Total Nacional;09 Cataluña;Persona fisica;2017;2335
Total Nacional;09 Cataluña;Persona fisica;2016;5001
Total Nacional;09 Cataluña;Persona fisica;2015;7341
Total Nacional;09 Cataluña;Persona fisica;2014;10803
Total Nacional;09 Cataluña;Persona juridica;2023;420
Total Nacional;09 Cataluña;Persona juridica;2022;522
Total Nacional;09 Cataluña;Persona juridica;2021;795
Total Nacional;09 Cataluña;Persona juridica;2020;1456
Total Nacional;09 Cataluña;Persona juridica;2019;4519
Total Nacional;09 Cataluña;Persona juridica;2018;3047
Total Nacional;09 Cataluña;Persona juridica;2017;2037
Total Nacional;09 Cataluña;Persona juridica;2016;1990
Total Nacional;09 Cataluña;Persona juridica;2015;3769
Total Nacional;09 Cataluña;Persona juridica;2014;3544
Total Nacional;10 Comunitat Valenciana;Total;2023;2497
Total Nacional;10 Comunitat Valenciana;Total;2022;3388
Total Nacional;10 Comunitat Valenciana;Total;2021;4559
